mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
-366.511,142.50276,-3.1978042,10.288117,-33.700817,0.50065386,-23.142172,-9.76027,-10.369169,-4.479844,-12.013094,-8.257003,-6.9290967,-15.718767,-13.289295,-6.4130015,8.016577,7.9416504,18.355293,11.649568,Bhairavi
-364.22424,155.7964,-5.282293,20.238504,-33.347153,5.2532125,-24.929564,-4.0813274,-13.573298,-4.3547645,-14.776839,-5.379391,-6.136318,-12.837411,-10.046902,6.92309,16.358866,6.2515225,8.376852,-7.740189,Bhairavi
-342.04153,165.98631,-0.30919167,-0.2253868,-30.92131,-6.652268,-26.057419,-16.45123,-9.995007,-17.802147,-18.476503,-11.632168,-0.94525874,-6.4621053,-13.274353,-6.724402,0.7268332,1.5630335,12.117731,8.436526,Bhairavi
-381.62732,151.12431,10.636602,9.496142,-20.028597,-3.9229639,-21.97194,-13.808283,-7.8710685,-10.320214,-8.885133,-1.5805178,-2.2650466,-5.179417,-18.303274,-8.299077,-5.7221394,-15.649364,-0.86582947,-5.4568706,Bhairavi
-373.3422,160.19025,3.58856,7.0957227,-39.10446,-8.311689,-27.355906,-11.874945,-13.1331005,-14.098712,-10.391973,-8.037272,-1.7408198,-9.579414,-18.162687,-7.6227336,-1.4746773,-1.107079,19.425863,11.084014,Bhairavi
-372.04788,144.3328,-9.554185,2.2565603,-32.801067,-5.3690968,-28.394152,-13.714606,-14.912919,-12.395173,-14.076625,-8.221144,-4.923925,-12.481441,-4.7207847,9.116775,17.72935,5.922986,5.2759557,-9.667289,Bhairavi
-361.3092,149.457,-14.462798,28.73655,-19.276314,0.84763646,-29.276241,-8.663695,-15.553615,-4.399037,-14.676898,-1.9646126,-3.7858763,-10.234621,-14.934016,-2.323931,-0.8495195,-9.327155,-1.4459316,-5.4442816,Bhairavi
-299.5512,145.06337,-20.743223,12.566607,-32.6705,-2.0709314,-19.311607,-17.936258,-9.572759,-4.206596,-19.55471,-0.48523924,-5.6109157,-9.314678,-10.826499,-12.242224,-3.4485326,-16.565311,-9.255614,-0.81101865,Bhairavi
-300.49866,142.24919,-19.16747,21.642529,-38.649754,4.478688,-31.043335,-13.76715,-15.975699,6.6746044,-23.615429,1.5063242,-9.808881,-5.6859946,-10.37394,-12.750767,-5.376744,-14.593543,-11.923769,-1.2793602,Bhairavi
-363.8006,146.64558,-1.9170285,12.959594,-31.31198,0.87259954,-22.136057,-8.741552,-10.371587,-5.7581105,-12.171419,-7.844399,-5.678357,-14.953543,-11.172091,-0.08541721,12.390714,7.0024004,13.305507,2.107425,Bhairavi
-297.52066,111.98888,-4.073316,47.623898,-17.967672,13.565691,-21.40776,9.683416,-22.542332,-7.7677255,-14.525976,-18.043936,2.4513142,-2.539162,11.51576,2.6004355,10.552546,-2.0377488,3.5224066,-14.710911,Gelupulenisamaram
-244.59882,176.81058,-38.058376,37.89909,-15.521107,24.655483,-20.083641,8.050694,-14.354897,8.935038,-5.4924192,-13.889484,0.98620033,-7.7876015,4.826734,-13.646035,6.071435,-9.277888,1.4539309,-7.2591553,Gelupulenisamaram
-219.02356,151.8298,-28.12051,29.959208,-11.680494,18.083763,-25.700752,0.33648568,-8.137969,9.118656,-0.016731687,-13.783948,-2.544769,-10.710918,2.01837,-9.039238,0.9005427,-12.280035,-3.1652606,-0.82477653,Gelupulenisamaram
-187.15393,144.65625,-36.38432,24.309593,-24.040262,16.623064,-35.155975,6.283964,-2.1545916,21.675016,7.1852083,-16.706093,-12.717647,-22.732939,-0.15327933,-4.9114804,0.8562064,-11.43594,8.6670265,-1.2629477,Gelupulenisamaram
-207.02724,152.10017,-29.49996,36.110615,-21.602242,18.190073,-28.77579,8.4558115,-7.856437,9.270313,8.240371,-8.7119,4.767211,-12.764697,-9.434636,-15.318469,-3.1859028,-12.853924,0.39958078,-6.1086264,Gelupulenisamaram
-257.0377,146.18909,-3.7654629,36.86048,-12.759979,13.064061,-20.142136,16.18643,-7.7433314,1.6050951,-8.550291,-13.529853,1.5003155,-3.6333218,8.215175,-7.6636405,0.63179356,-9.524886,-0.5094498,-8.527625,Gelupulenisamaram
-225.6508,141.0702,-18.295578,29.975134,-18.481075,18.363447,-34.126106,0.73214155,-2.2268612,24.328997,13.015998,-12.434545,-11.947296,-25.58346,-2.5332613,-5.313339,-2.2517502,-10.712184,8.9387455,4.289433,Gelupulenisamaram
-195.36467,157.90256,-25.3887,38.96547,-16.043476,16.353369,-27.422604,9.00621,-8.126071,11.45116,7.193036,-14.211202,-4.942298,-19.213728,-8.693854,-13.05405,-2.1368349,-8.212871,4.544236,-6.561207,Gelupulenisamaram
-250.73376,156.99338,-13.649446,35.552776,-2.8711796,23.733488,-19.700254,4.4614444,-13.609026,3.1622803,-3.1150064,-13.294397,-2.6503553,-5.191302,4.6651034,-7.2730827,4.4852633,-7.1958814,-1.7402289,-13.146751,Gelupulenisamaram
